"Year" "Age" "Female" "Male" "Total"
"1" 1980 "0" 18650.6664452086 32781.2295671723 NA
"2" 1980 "1" 1106.42539754204 2006.01008551056 NA
"3" 1980 "2" 798.675366089224 1262.89784361335 NA
"4" 1980 "3" 524.623766791005 710.945505172089 NA
"5" 1980 "4" 398.103631065748 623.807937793335 NA
"6" 1980 "5" 377.878532817764 560.608615136722 NA
"7" 1980 "6" 386.107039390819 568.65540008579 NA
"8" 1980 "7" 390.666574336939 504.061202701177 NA
"9" 1980 "8" 294.782271079851 598.729239010934 NA
"10" 1980 "9" 346.598710313685 747.59943819005 NA
"11" 1980 "10" 321.765912779152 694.643018293563 NA
"12" 1980 "11" 369.833484162765 628.838226203066 NA
"13" 1980 "12" 437.331178038414 593.12064023283 NA
"14" 1980 "13" 473.728320220646 905.880034019351 NA
"15" 1980 "14" 548.836607964216 1196.88307349411 NA
"16" 1980 "15" 654.035393037174 1768.94816687447 NA
"17" 1980 "16" 830.729065359554 1831.1732461844 NA
"18" 1980 "17" 1098.9137744667 3063.75768144808 NA
"19" 1980 "18" 1527.14202056796 4505.79378321166 NA
"20" 1980 "19" 1483.16649758117 4297.18398329322 NA
"21" 1980 "20" 1712.58060305539 4835.61805935415 NA
"22" 1980 "21" 1020.16032897495 3989.91365114064 NA
"23" 1980 "22" 883.67136893961 3242.52622254366 NA
"24" 1980 "23" 1378.79590187009 4354.71395197906 NA
"25" 1980 "24" 1041.84163641803 4159.33888982454 NA
"26" 1980 "25" 1005.4949457232 5237.7949943773 NA
"27" 1980 "26" 1708.31632672214 3590.2227932373 NA
"28" 1980 "27" 1469.84755768441 4603.09775287711 NA
"29" 1980 "28" 1475.55584079038 2984.38579028976 NA
"30" 1980 "29" 975.277303714185 4361.68659689775 NA
"31" 1980 "30" 1044.77117445457 3316.50184764251 NA
"32" 1980 "31" 1518.68274618433 3838.05162880749 NA
"33" 1980 "32" 1115.06411604234 3912.8443750745 NA
"34" 1980 "33" 1294.3085488726 2866.66619595906 NA
"35" 1980 "34" 1655.91545908418 2607.22187751575 NA
"36" 1980 "35" 1187.38617706217 3680.96593563596 NA
"37" 1980 "36" 1460.47174803503 3555.48472778289 NA
"38" 1980 "37" 1875.36780079817 4040.74132745372 NA
"39" 1980 "38" 2341.82081889211 3544.67624202635 NA
"40" 1980 "39" 2529.99618526696 4039.74714375197 NA
"41" 1980 "40" 2308.76869588295 4303.45770686493 NA
"42" 1980 "41" 1552.06704210822 4276.39335330537 NA
"43" 1980 "42" 2609.50521635046 4943.43038097195 NA
"44" 1980 "43" 1843.92965809754 4585.26908043262 NA
"45" 1980 "44" 3349.52703749886 4435.72481405149 NA
"46" 1980 "45" 2970.37733037657 5810.96561477487 NA
"47" 1980 "46" 4062.70463883642 5058.86011952672 NA
"48" 1980 "47" 3315.51076760217 5952.94626031678 NA
"49" 1980 "48" 3683.76250330134 8258.48721662207 NA
"50" 1980 "49" 4446.87955472679 5810.94107184179 NA
"51" 1980 "50" 4432.59893021429 11221.3308276706 NA
"52" 1980 "51" 5257.76404737625 7466.25375044892 NA
"53" 1980 "52" 4582.50486544207 7901.55868731066 NA
"54" 1980 "53" 7854.73255207479 8674.66429987611 NA
"55" 1980 "54" 8086.1348267716 15723.5965529144 NA
"56" 1980 "55" 6741.40829032791 12331.849599183 NA
"57" 1980 "56" 9241.67424423081 18577.0067296335 NA
"58" 1980 "57" 10379.5264604881 11814.8346959173 NA
"59" 1980 "58" 7014.05173913129 12406.7022150281 NA
"60" 1980 "59" 10165.8795960452 22943.5531516683 NA
"61" 1980 "60" 10086.7488824216 21960.5022968423 NA
"62" 1980 "61" 7977.42238964816 18722.7965283355 NA
"63" 1980 "62" 9188.32427157313 22491.1159494607 NA
"64" 1980 "63" 10285.2507944553 22438.2722491547 NA
"65" 1980 "64" 9787.80093172136 17297.8507012656 NA
"66" 1980 "65" 15956.0128957951 31528.5903527913 NA
"67" 1980 "66" 17024.6363478545 27312.6140658714 NA
"68" 1980 "67" 20263.9043704314 28322.2531489116 NA
"69" 1980 "68" 16930.6245010177 31011.3229540354 NA
"70" 1980 "69" 13300.1174012889 31539.3948862474 NA
"71" 1980 "70" 23251.0183344281 29057.138085143 NA
"72" 1980 "71" 22208.9260946584 25836.1914303484 NA
"73" 1980 "72" 21785.7219473025 24834.5955472091 NA
"74" 1980 "73" 17244.5361827738 32636.8721088339 NA
"75" 1980 "74" 17866.5411872389 24410.5543128438 NA
"76" 1980 "75" 22152.0775826637 21141.1498605499 NA
"77" 1980 "76" 24304.1593918441 33929.980875779 NA
"78" 1980 "77" 22092.622655114 21688.7806805059 NA
"79" 1980 "78" 21414.1099944572 21186.7794072067 NA
"80" 1980 "79" 34898.5204247495 27992.8155930826 NA
"81" 1980 "80" 31632.4864303796 27044.424766409 NA
"82" 1980 "81" 22746.1190072896 26935.327795016 NA
"83" 1980 "82" 27767.3927687391 15972.9179633906 NA
"84" 1980 "83" 20028.7035990248 16419.3172806569 NA
"85" 1980 "84" 23588.4970997146 17017.5175454386 NA
"86" 1980 "85" 30080.4493470883 23794.7050564191 NA
"87" 1980 "86" 25874.616071731 14882.6001606094 NA
"88" 1980 "87" 28329.8620203473 21362.4196748373 NA
"89" 1980 "88" 26720.9076041977 15769.0137883156 NA
"90" 1980 "89" 24359.5156053109 14939.3787897491 NA
"91" 1980 "90" 17504.5792382987 7359.95984572556 NA
"92" 1980 "91" 15365.3626146098 7397.00207426461 NA
"93" 1980 "92" 10320.0630046915 6909.30061566427 NA
"94" 1980 "93" 11675.0012549145 6583.55105573964 NA
"95" 1980 "94" 8158.91859543589 4833.9590535765 NA
"96" 1980 "95" 8615.13330237317 2711.40598637924 NA
"97" 1980 "96" 5435.97203229718 2752.69679464073 NA
"98" 1980 "97" 5680.21839526078 2191.26848789439 NA
"99" 1980 "98" 4167.54135776641 1533.80472475888 NA
"100" 1980 "99" 1733.5421804097 887.180253690593 NA
"101" 1980 "100" 1323.33878647807 667.286189359959 NA
"102" 1981 "0" 22296.4336064833 31204.3316561738 NA
"103" 1981 "1" 1272.75200846332 1498.10054221562 NA
"104" 1981 "2" 767.116174997737 1260.93969779801 NA
"105" 1981 "3" 726.732048459869 1020.6542310837 NA
"106" 1981 "4" 395.026934280172 858.139840571726 NA
"107" 1981 "5" 536.695175575938 517.521463692002 NA
"108" 1981 "6" 326.285131995931 574.320694709162 NA
"109" 1981 "7" 304.375027354334 473.722591092139 NA
"110" 1981 "8" 403.387455240965 489.820618970997 NA
"111" 1981 "9" 253.561093483999 573.779813572162 NA
"112" 1981 "10" 347.334505297747 509.109501273375 NA
"113" 1981 "11" 379.715809627713 472.861125318451 NA
"114" 1981 "12" 353.177695488155 822.695483271934 NA
"115" 1981 "13" 521.053335755967 841.322723004876 NA
"116" 1981 "14" 394.683599753697 1110.46563894188 NA
"117" 1981 "15" 533.806581247762 1137.32099167085 NA
"118" 1981 "16" 686.791541222825 2158.46604137197 NA
"119" 1981 "17" 801.482660766436 2255.08166997413 NA
"120" 1981 "18" 888.405828215847 2586.66124324205 NA
"121" 1981 "19" 1645.55758053495 3685.00973001765 NA
"122" 1981 "20" 953.254200494544 4413.47758085634 NA
"123" 1981 "21" 863.611886348954 3001.73574769714 NA
"124" 1981 "22" 1511.71869826897 3959.24726135683 NA
"125" 1981 "23" 1335.82020488434 4634.7829738893 NA
"126" 1981 "24" 1158.24630909505 3107.75297913046 NA
"127" 1981 "25" 1375.96621043704 4007.44298591859 NA
"128" 1981 "26" 1173.73339618623 4722.1182661472 NA
"129" 1981 "27" 1605.46157800184 3491.98303711085 NA
"130" 1981 "28" 1242.46632952197 3867.7098505616 NA
"131" 1981 "29" 1630.93781020286 3110.96185861021 NA
"132" 1981 "30" 1194.92986540426 4613.52092326016 NA
"133" 1981 "31" 1111.79629580802 2996.82150480685 NA
"134" 1981 "32" 1536.11765889373 3164.74290230374 NA
"135" 1981 "33" 1546.60087199357 4390.50332096583 NA
"136" 1981 "34" 1631.2275848249 3811.49940653898 NA
"137" 1981 "35" 1463.87854775374 2137.87310354233 NA
