"Age" "Year" "Cohort" "Prev" "qx"
"1" 0 1980 1980 1 0
"2" 0 1981 1981 1 0
"3" 0 1982 1982 1 0
"4" 0 1983 1983 1 0
"5" 0 1984 1984 1 0
"6" 0 1985 1985 1 0
"7" 0 1986 1986 1 0
"8" 0 1987 1987 1 0
"9" 0 1988 1988 1 0
"10" 0 1989 1989 1 0
"11" 0 1990 1990 1 0
"12" 0 1991 1991 1 0
"13" 0 1992 1992 1 0
"14" 0 1993 1993 1 0
"15" 0 1994 1994 1 0
"16" 0 1995 1995 1 0
"17" 0 1996 1996 1 0
"18" 0 1997 1997 1 0
"19" 0 1998 1998 1 0
"20" 0 1999 1999 1 0
"21" 0 2000 2000 1 0
"22" 0 2001 2001 1 0
"23" 0 2002 2002 1 0
"24" 0 2003 2003 1 0
"25" 0 2004 2004 1 0
"26" 0 2005 2005 1 0
"27" 0 2006 2006 1 0
"28" 0 2007 2007 1 0
"29" 0 2008 2008 1 0
"30" 0 2009 2009 1 0
"31" 0 2010 2010 1 0
"32" 0 2011 2011 1 0
"33" 0 2012 2012 1 0
"34" 0 2013 2013 1 0
"35" 0 2014 2014 1 0
"36" 0 2015 2015 1 0
"37" 0 2016 2016 1 0
"38" 0 2017 2017 1 0
"39" 0 2018 2018 1 0
"40" 0 2019 2019 1 0
"41" 1 1980 1979 1 0
"42" 1 1981 1980 1 0
"43" 1 1982 1981 1 0
"44" 1 1983 1982 1 0
"45" 1 1984 1983 1 0
"46" 1 1985 1984 1 0
"47" 1 1986 1985 1 0
"48" 1 1987 1986 1 0
"49" 1 1988 1987 1 0
"50" 1 1989 1988 1 0
"51" 1 1990 1989 1 0
"52" 1 1991 1990 1 0
"53" 1 1992 1991 1 0
"54" 1 1993 1992 1 0
"55" 1 1994 1993 1 0
"56" 1 1995 1994 1 0
"57" 1 1996 1995 1 0
"58" 1 1997 1996 1 0
"59" 1 1998 1997 1 0
"60" 1 1999 1998 1 0
"61" 1 2000 1999 1 0
"62" 1 2001 2000 1 0
"63" 1 2002 2001 1 0
"64" 1 2003 2002 1 0
"65" 1 2004 2003 1 0
"66" 1 2005 2004 1 0
"67" 1 2006 2005 1 0
"68" 1 2007 2006 1 0
"69" 1 2008 2007 1 0
"70" 1 2009 2008 1 0
"71" 1 2010 2009 1 0
"72" 1 2011 2010 1 0
"73" 1 2012 2011 1 0
"74" 1 2013 2012 1 0
"75" 1 2014 2013 1 0
"76" 1 2015 2014 1 0
"77" 1 2016 2015 1 0
"78" 1 2017 2016 1 0
"79" 1 2018 2017 1 0
"80" 1 2019 2018 1 0
"81" 2 1980 1978 1 0
"82" 2 1981 1979 1 0
"83" 2 1982 1980 1 0
"84" 2 1983 1981 1 0
"85" 2 1984 1982 1 0
"86" 2 1985 1983 1 0
"87" 2 1986 1984 1 0
"88" 2 1987 1985 1 0
"89" 2 1988 1986 1 0
"90" 2 1989 1987 1 0
"91" 2 1990 1988 1 0
"92" 2 1991 1989 1 0
"93" 2 1992 1990 1 0
"94" 2 1993 1991 1 0
"95" 2 1994 1992 1 0
"96" 2 1995 1993 1 0
"97" 2 1996 1994 1 0
"98" 2 1997 1995 1 0
"99" 2 1998 1996 1 0
"100" 2 1999 1997 1 0
"101" 2 2000 1998 1 0
"102" 2 2001 1999 1 0
"103" 2 2002 2000 1 0
"104" 2 2003 2001 1 0
"105" 2 2004 2002 1 0
"106" 2 2005 2003 1 0
"107" 2 2006 2004 1 0
"108" 2 2007 2005 1 0
"109" 2 2008 2006 1 0
"110" 2 2009 2007 1 0
"111" 2 2010 2008 1 0
"112" 2 2011 2009 1 0
"113" 2 2012 2010 1 0
"114" 2 2013 2011 1 0
"115" 2 2014 2012 1 0
"116" 2 2015 2013 1 0
"117" 2 2016 2014 1 0
"118" 2 2017 2015 1 0
"119" 2 2018 2016 1 0
"120" 2 2019 2017 1 0
"121" 3 1980 1977 1 0
"122" 3 1981 1978 1 0
"123" 3 1982 1979 1 0
"124" 3 1983 1980 1 0
"125" 3 1984 1981 1 0
"126" 3 1985 1982 1 0
"127" 3 1986 1983 1 0
"128" 3 1987 1984 1 0
"129" 3 1988 1985 1 0
"130" 3 1989 1986 1 0
"131" 3 1990 1987 1 0
"132" 3 1991 1988 1 0
"133" 3 1992 1989 1 0
"134" 3 1993 1990 1 0
"135" 3 1994 1991 1 0
"136" 3 1995 1992 1 0
"137" 3 1996 1993 1 0
"138" 3 1997 1994 1 0
"139" 3 1998 1995 1 0
"140" 3 1999 1996 1 0
"141" 3 2000 1997 1 0
"142" 3 2001 1998 1 0
"143" 3 2002 1999 1 0
"144" 3 2003 2000 1 0
"145" 3 2004 2001 1 0
"146" 3 2005 2002 1 0
"147" 3 2006 2003 1 0
"148" 3 2007 2004 1 0
"149" 3 2008 2005 1 0
"150" 3 2009 2006 1 0
"151" 3 2010 2007 1 0
"152" 3 2011 2008 1 0
"153" 3 2012 2009 1 0
"154" 3 2013 2010 1 0
"155" 3 2014 2011 1 0
"156" 3 2015 2012 1 0
"157" 3 2016 2013 1 0
"158" 3 2017 2014 1 0
"159" 3 2018 2015 1 0
"160" 3 2019 2016 1 0
"161" 4 1980 1976 1 0
"162" 4 1981 1977 1 0
"163" 4 1982 1978 1 0
"164" 4 1983 1979 1 0
"165" 4 1984 1980 1 0
"166" 4 1985 1981 1 0
"167" 4 1986 1982 1 0
"168" 4 1987 1983 1 0
"169" 4 1988 1984 1 0
"170" 4 1989 1985 1 0
"171" 4 1990 1986 1 0
"172" 4 1991 1987 1 0
"173" 4 1992 1988 1 0
"174" 4 1993 1989 1 0
"175" 4 1994 1990 1 0
"176" 4 1995 1991 1 0
"177" 4 1996 1992 1 0
"178" 4 1997 1993 1 0
"179" 4 1998 1994 1 0
"180" 4 1999 1995 1 0
"181" 4 2000 1996 1 0
"182" 4 2001 1997 1 0
"183" 4 2002 1998 1 0
"184" 4 2003 1999 1 0
"185" 4 2004 2000 1 0
"186" 4 2005 2001 1 0
